pm10,pm2.5,so2,co,o3,no2,category
18,56,25,22,26,35,Sedang
14,50,25,21,23,33,Baik
12,42,14,13,21,33,Baik
11,40,11,12,12,31,Baik
15,50,21,23,24,34,Sedang
14,50,25,25,22,34,Baik
11,42,21,19,24,34,Baik
14,51,29,26,20,33,Sedang
14,50,22,19,24,32,Baik
17,54,24,21,23,31,Sedang
22,61,23,21,22,33,Sedang
18,37,13,15,13,5,Baik
9,35,18,14,30,38,Baik
7,27,16,16,23,38,Baik
12,43,15,17,23,40,Baik
17,54,16,19,26,42,Sedang
18,56,19,22,21,40,Sedang
12,43,22,23,13,36,Baik
13,49,24,23,14,37,Baik
18,37,13,15,13,5,Baik
26,67,24,21,1,40,Sedang
27,69,18,16,3,41,Sedang
